customer_id,signup_date,country,industry,subscription_type,tenure_months,avg_weekly_usage_hrs,num_courses_completed,num_certificates,engagement_score,loyalty_points,monthly_spend,add_ons_purchased,auto_renew_enabled,support_tickets_last_6mo,last_payment_missed,nps_score,churned,cluster
d4817ca1-d842-439f-a4b2-b7c313b3a2d8,2019-05-11,BR,,Basic,61,3.658629013948471,70,19,16.7,158,24.98,3,Yes,4,14,44.0,0,3
17ead296-7a8a-4e1e-b9b6-59d4092c9f21,2020-07-18,BR,,Basic,47,2.020747417808304,31,5,16.0,411,14.99,0,Yes,3,21,,1,1
99a37a51-a493-42ab-9021-48a4d85a1f30,2020-02-05,IN,,Free,52,1.0471116178160833,20,3,12.8,103,14.99,0,No,2,44,47.0,1,3
6d64aea3-3930-4350-a2bc-a389edb8e46a,2020-01-01,US,,Free,53,1.7345121667274634,41,4,14.3,156,9.99,0,No,3,22,1.0,0,3
aef90064-863e-4ceb-8cf3-17d12a9925c8,2021-06-27,BR,,Free,36,0.8713214357140275,15,0,16.7,652,0.0,0,No,5,45,66.0,0,1
3188eeb9-8530-48ea-a9a8-dec2f249af7c,2022-12-10,FR,,Basic,18,2.1771584107125967,12,2,23.4,275,14.99,0,Yes,3,19,,1,1
dd5113ea-38b4-49ff-80c5-43801a1be1ed,2018-04-12,IN,,Premium,74,6.378085540797788,132,6,18.0,144,34.99,6,Yes,7,32,42.0,1,2
3825ef23-9207-44c6-9c7b-4327ba279581,2020-05-23,JP,,Free,49,2.7524092180806567,43,3,16.7,165,0.0,0,Yes,2,21,,0,1
f7312bf0-485e-4066-8924-5c47d4d0fbb6,2017-11-27,UK,,Premium,79,5.224096157822728,165,17,17.2,176,49.98,0,Yes,8,20,,1,2
ea9ff0f4-eb0c-4d32-8198-a5f8179c36ad,2021-01-22,US,,Basic,41,1.9462400300208016,28,8,17.7,173,14.99,1,No,5,22,36.0,0,3
d0ad7ea3-984f-46fb-ab66-d89e9b66b466,2022-11-06,BR,,Premium,19,6.5469355278670145,56,4,30.6,1120,34.99,2,Yes,3,40,18.0,0,0
a805701c-cf56-4bcd-8c85-6276ac78cec7,2017-05-11,IN,,Free,85,1.2758892245369315,45,5,5.0,62,4.99,0,No,9,28,21.0,1,3
bb4667ae-7118-49fb-995e-a49e0ba0c9d2,2021-08-13,AU,,Basic,34,1.9160329528468936,28,1,19.2,206,14.99,0,Yes,5,32,100.0,0,1
43bf257f-bf14-496f-b85b-6976f18c70a3,2019-02-09,CA,,Free,64,0.8303786580728775,20,0,8.8,73,0.0,0,No,5,16,,0,3
bcc2560e-3062-4e8f-80f9-c7b70498ec99,2023-07-20,US,,Basic,11,1.9355826625422712,12,0,24.8,231,14.99,1,Yes,0,25,32.0,0,1
